controlno,Title,Author,Callno,Accession,Copyright,Quantity
32408103202,'Mathematical analysis',"Weber, Jean E.",515 W374,31450,1982,1
32408103721,'Elementary functions',"Sullivan, Elvis H.",515.25 S949,19166,1975,1
32408105243,'Simplified differential calculus',"Verterra, Romel Tarcelo F.",515.33 V567,33496,2004,1
32408105442,'Elementary differential equations reviewer',"Asin, Ricardo C.",515.35 A832,31186,1982,1
32408105600,'Elementary differential equations',"Derrick, William R.",515.35 D438,33654,1997,1
32408105818,'Elementary differential equations',"Rainville, Earl D.",515.35 R159,82,1981,1
32408110110,'Elementary differential equations',"Rainville, Earl D.",515.35 R159,"34991, 34523",2002,2
32408110324,'Differential and integral calculus',"Love, Clyde E.",515.43 L897,407,1981,1
32408125841,'Integral calculus made simple for Filipinos text / workbook',"Nocon, Ferdinand P.",515.43 N758,33579,2001,1
32408130703,'Single variable calculus',"Edwards, C. Henry",515.64 E26,35791,2003,1
32408131334,'Geometry',"Kalin, Robert",516 K14,35105,1993,1
32408131535,'Geometry',"Lewis, Harry",516 L674,30038,1971,1
32408134347,'Plane Geometry',"Welchons, A. M.",516 W154,20377,1961,1
32408134812,'Elementary functions with coordinate Geometry',"Swokowski, Earl W.",516.16 S979,7834,1971,1
32408135658,'Trigonometry',"Cabansay, Myrna",516.24 C112 2E,51387,1987,1
32408135957,'The new plane Trigonometry',"Puzon, Aurora B.",516.24 P994,20157,1980,1
32408140323,'Trigonometry',"Rees, Dorothy",516.24 R328,"32402, 32403",1980,2
32408140753,'Trigonometry',"Reyes, Fe N.",516.24 R457,35095,2005,1
32408141156,'Plane Trigonometry',Plane Trigonometry,516.242 B242,33885,2003,1
32408141613,'Plane trigonometry (text/workbook)',"Batacan, Ma. Carmelita A.",516.242 B328,35103,2001,1
32408141814,'Plane Trigonometry',"Mejia, Leila Dp.",516.242 M516,"35048, 35047",2004,2
32408142242,'Plane and spherical trigonometry with application',"Hart, William L.",516.244 H326,83,1964,1
32408143018,'Mathematical analysis',"Del Rosario, Asuncion M.",516.3 D364,34173,1999,1
32408144323,'Analytic Geometry and calculus a unified treatment',"Miller, Frederic H.",516.3 M647,30033,1956,1
32408144449,'Simplified analytic geometry (worktext)',"Panopio, Felix M.",516.3 P195,33893,2005,1
32408145800,"'Pobability, statistics and random process'","Maisel, Louis",519.2 M231,5532,1971,1
32408145944,'Introduction to probability and statistics',"Mendenhall, William",519.2 M537,34914,2006,1
32408150129,'Introductory statistics',"Harshbarger, Thad R.",519.5 H324,18578,1971,1
32408150434,'Numerical Mathematics',"Li, Jerome C. R.",519.5 L693,"30036, 18793",1966,2
32408150708,'Elementary systems Mathematics',"Machol, Robert E.",519.72 M151,8165,1976,1
32408150902,'Statistical quality control',"Grant, Eugene L.",519.86 G761,5554,1972,1
32408151242,'Introduction to astronomy',"Abastillas, Vivencio N. Jr.",520 A118,34866,2000,1
32408151426,'New horizons in astronomy',"Brandt, John C.",520 B821,"18219, 7661",1972,2
32408151755,'Study guide to accompany understanding the universe',"Flower, Phillip",520 F644 SG,31842,1990,1
32408152052,'Astronomy the cosmic journey',"Hartmann, William K.",520 H333,30352,1987,1
32408152229,'Concepts of contemporary astronomy',"Hodge, Paul W.",520 H638 2E,"18218, 18217, 18220",1979,3
32408152511,'Frontiers of astronomy',"Hoyle, Fred",520 H868,31754,1955,1
32408153151,'In quest of the universe',"Kuhn, Karl F.",520 K96,31832,1991,1
32408153311,'Foundations of astronomy',"Seeds, Michael A.",520 S451,"30328, 30329, 30327, 30330",1988,4
32408153441,"'Cry, the beloved country'","Paton, Alan",523 P312,20965,1974,1
32408153826,'The structure of the universe',"Schatzman, E. L.",523.1 S312,"18697, 18501, 18500, 18479",1976,4
32408155005,'Nine planets',"Nourse, Alan E.",523.4 N933,31246,1960,1
32408155219,'Instructor''s manual',"Aldridge, Bill G.",530 A365,"18424, 18425",1975,2
32408160320,"'Physics worktext in mechanics, energy and fluids'","Bulos, Evangeline B.",530 B939,"34832, 34831",2005,2
32408160535,'Conceptual physics',"Hewitt, Paul G.",530 H611,34928,2002,1
32408160854,'Physics',"Kirkpatrick, Larry D.",530 K59,34009,1998,1
32408161107,'Introduction to college physics',"Magtira, Cirilo C.",530 M212,30032,1972,1
32408161451,'Invitation to physics',"Pasachoff, Jay M.",530 P277,31709,1981,1
32408161754,'College physics laboratory guide and notebook',"Pedrosa, Ciriaco",530 P372,12,1981,1
32508075648,'Laboratory manual in integrated collee physics',Physics Committee,530 P578,20506,1987,1
32508080035,'Laboratory manual in college physics part I & II',Physics Committee,530 P578,"20505, 20504",1987,2
32508082753,'Physics part one',"Resnick, Robert",530 R434,303,1977,1
32508151635,'University physics',"Sears, Francis W.",530 S439,31913,1987,1
32508151759,'Solutions manual for students',"Walker, James S.",530 W181,31834,1991,1
32508152308,'College physics',"Weber, Robert L.",530 W375,"18532, 18387, 18362",1974,3
32508152423,'100 ways to save energy and money in the home',Office of Energy Conservation,531.62 O32,33309,1977,1
